,income,foodexp
1,420.1577,255.8394
2,541.4117,310.9587
3,901.1575,485.68
4,639.0802,402.9974
5,750.8756,495.5608
6,945.7989,633.7978
7,829.3979,630.7566
8,979.1648,700.4409
9,1309.8789,830.9586
10,1492.3987,815.3602
11,502.839,338.0014
12,616.7168,412.3613
13,790.9225,520.0006
14,555.8786,452.4015
15,713.4412,512.7201
16,838.7561,658.8395
17,535.0766,392.5995
18,596.4408,443.5586
19,924.5619,640.1164
20,487.7583,333.8394
21,692.6397,466.9583
22,997.877,543.3969
23,506.9995,317.7198
24,654.1587,424.3209
25,933.9193,518.9617
26,433.6813,338.0014
27,587.5962,419.6412
28,896.4746,476.32
29,454.4782,386.3602
30,584.9989,423.2783
31,800.799,503.3572
32,502.4369,354.6389
33,713.5197,497.3182
34,906.0006,588.5195
35,880.5969,654.5971
36,796.8289,550.7274
37,854.8791,528.377
38,1167.3716,640.4813
39,523.8,401.3204
40,670.7792,435.999
41,377.0584,276.5606
42,851.543,588.3488
43,1121.0937,664.1978
44,625.5179,444.8602
45,805.5377,462.8995
46,558.5812,377.7792
47,884.4005,553.1504
48,1257.4989,810.8962
49,2051.1789,1067.9541
50,1466.333,1049.8788
51,730.0989,522.7012
52,800.799,572.0807
53,1245.6964,907.3969
54,1201.0002,811.5776
55,634.4002,427.7975
56,956.2315,649.9985
57,1148.601,860.6002
58,1768.8236,1143.4211
59,2822.533,2032.6792
60,922.3548,590.6183
61,2293.192,1570.3911
62,627.4726,483.48
63,889.9809,600.4804
64,1162.2,696.2021
65,1197.0794,774.7962
66,530.7972,390.5984
67,1142.1526,612.5619
68,1088.0039,708.7622
69,484.6612,296.9192
70,1536.0201,1071.4627
71,678.8974,496.5976
72,671.8802,503.3974
73,690.4683,357.6411
74,860.6948,430.3376
75,873.3095,624.699
76,894.4598,582.5413
77,1148.647,580.2215
78,926.8762,543.8807
79,839.0414,588.6372
80,829.4974,627.9999
81,1264.0043,712.1012
82,1937.9771,968.3949
83,698.8317,482.5816
84,920.4199,593.1694
85,1897.5711,1033.5658
86,891.6824,693.6795
87,889.6784,693.6795
88,1221.4818,761.2791
89,544.5991,361.3981
90,1031.4491,628.4522
91,1462.9497,771.4486
92,830.4353,757.1187
93,975.0415,821.597
94,1337.9983,1022.3202
95,867.6427,679.4407
96,725.7459,538.7491
97,989.0056,679.9981
98,1525.0005,977.0033
99,672.196,561.2015
100,923.3977,728.3997
101,472.3215,372.3186
102,590.7601,361.521
103,940.9218,517.9196
104,643.3571,459.8177
105,2551.6615,863.9199
106,1795.3226,831.4407
107,1165.7734,534.761
108,815.6212,392.0502
109,1264.2066,934.9752
110,1095.4056,813.3081
111,447.4479,263.71
112,1178.9742,769.0838
113,975.8023,630.5863
114,1017.8522,645.9874
115,423.8798,319.5584
116,558.7767,348.4518
117,943.2487,614.5068
118,1348.3002,662.0096
119,2340.6174,1504.3708
120,587.1792,406.218
121,1540.9741,692.1689
122,1115.8481,588.1371
123,1044.6843,511.2609
