year,tic,at,revt,xlr,xpr,sic
2017,AIR,1524.7,1748.3,0,11.2,5080
2018,AIR,1517.2,2051.8,0,12.7,5080
2019,AIR,2079,2089.3,0,14.9,5080
2020,AIR,1539.7,1651.4,0,6.2,5080
2021,AIR,1573.9,1817.1,0,7.3,5080
2017,AFAP,30.485,73.22,0,.724,7380
2018,AFAP,34.031,77.742,0,.803,7380
2019,AFAP,33.355,83.08799999999999,0,.9,7380
2020,AFAP,40.57,82.679,0,.875,7380
2017,AAL,51396,42207,13268,957,4512
2018,AAL,60580,44541,13842,818,4512
2019,AAL,59995,45768,14390,960,4512
2020,AAL,62008,17337,12551,713,4512
2021,AAL,66467,29882,0,649,4512
2017,CECE,438.549,345.051,0,3.833,3564
2018,CECE,392.582,337.339,0,3.017,3564
2019,CECE,408.637,341.869,0,3.712,3564
2020,CECE,419.314,316.011,0,2.306,3564
2021,CECE,416.197,324.14,0,1.176,3564
2017,ASA,245.562,1.408,0,-.094,6799
2017,ASA,245.562,4.624,0,-.094,6799
2018,ASA,196.072,1.629,0,-.056,6799
2018,ASA,196.072,-45.954,0,-.056,6799
2019,ASA,286.612,2.371,0,-.029,6799
2019,ASA,286.612,96.128,0,-.029,6799
2020,ASA,464.74,1.333,0,-.042,6799
2020,ASA,464.74,181.418,0,-.042,6799
2021,ASA,482.694,22.918,0,-.036,6799
2021,ASA,482.694,2.674,0,-.036,6799
2017,AVX,2672.766,1562.474,0,6.874,3670
2018,AVX,2813.278,1791.79,0,5.638,3670
2017,PNW,17019.082,3565.296,0,37.295,4911
2018,PNW,17664.202,3691.247,0,41.587,4911
2019,PNW,18479.247,3471.209,0,68.44499999999999,4911
2020,PNW,20020.421,3586.982,0,32.969,4911
2021,PNW,22003.222,3803.835,0,-14.878,4911
2017,PRG,2692.264,3383.708,0,5.7,6141
2018,PRG,2826.692,3828.923,0,6.9,6141
2019,PRG,3297.8,3947.656,0,7.4,6141
2020,PRG,1317.404,2484.595,0,2.5,6141
2021,PRG,1621.761,2677.92,0,2.5,6141
2017,ABT,76250,27390,0,200,3845
2018,ABT,67173,30578,0,273,3845
2019,ABT,67887,31904,0,168,3845
2020,ABT,72548,34608,0,286,3845
2021,ABT,75196,43075,0,295,3845
2017,WDDD,.184,0,.263,0,7370
2018,WDDD,3.846,0,.296,0,7370
2019,WDDD,1.774,0,.214,0,7370
2020,WDDD,.6919999999999999,0,.208,0,7370
2021,WDDD,.284,0,.215,0,7370
2017,ACETQ,1038.185,638.318,0,1.824,5160
2018,ACETQ,767.024,711.359,0,2.022,5160
2017,MRCBF,10111.986,1113.774,0,-.173,6510
2018,MRCBF,11082.758,1157.878,0,.138,6510
2019,MRCBF,11703.084,1192.973,0,.252,6510
2020,MRCBF,11052.688,1044.189,0,.471,6510
2021,MRCBF,11492.543,1044.844,0,1.56,6510
2017,ACMTA,66.316,3.701,0,.025,6351
2018,ACMTA,60.875,2.751,0,.025,6351
2019,ACMTA,58.515,4.007,0,.04,6351
2020,ACMTA,57.742,3.022,0,.035,6351
2021,ACMTA,58.465,3.307,0,.037,6351
2017,ACU,114.73,130.55,0,.36,3420
2018,ACU,109.477,137.321,0,.365,3420
2019,ACU,110.749,142.457,0,.413,3420
2020,ACU,129.867,164.003,0,1.238,3420
2021,ACU,144.439,182.088,0,.419,3420
2017,BKTI,42.801,39.395,0,.136,3663
2018,BKTI,39.191,49.38,0,.144,3663
2019,BKTI,37.94,40.1,0,.164,3663
2020,BKTI,37.49,44.139,0,.06,3663
2021,BKTI,50.385,45.364,0,.16,3663
2017,ADX,,,0,0,6726
2018,ADX,,,0,0,6726
2019,ADX,,,0,0,6726
2020,ADX,,,0,0,6726
2021,ADX,,,0,0,6726
2017,AE,282.704,1322.06,0,.734,5172
2018,AE,278.87,1750.213,0,.8080000000000001,5172
2019,AE,330.842,1811.247,0,1.117,5172
2020,AE,296.187,1022.422,0,1.1,5172
2021,AE,374.703,2025.204,0,1.159,5172
2017,AMD,3540,5329,0,18,3674
2018,AMD,4556,6475,0,21,3674
2019,AMD,6028,6731,0,25,3674
2020,AMD,8962,9763,0,29,3674
2021,AMD,12419,16434,0,35,3674
2017,ASMIY,2617.431,886.503,195,7.13,3559
2018,ASMIY,2115.739,936.619,206.208,7.942,3559
2019,ASMIY,2440.903,1262.075,243.605,9.435,3559
2020,ASMIY,2687.937,1600.9,292.885,10.786,3559
2021,ASMIY,3083.39,1967.472,346.866,12.803,3559
2017,AET,55151,60447,0,84,6324
2017,AET,55151,60495,0,84,6324
2017,AEM,7865.601,2242.604,526.8,21.81,1040
2018,AEM,7852.843,2191.221,596.7,15.963,1040
2019,AEM,8789.885,2494.892,636.8,16.725,1040
2020,AEM,9614.754999999999,3138.113,657,28.574,1040
