y,x1,x2
0.7425,0.96028,0.62464
3.2532,-0.081396,-0.058301
2.9068,-1.3652,-0.80985
2.5286,1.1419,0.077008
2.8548,0.63716,0.38975
3.0678,-1.3221,-0.88551
1.7622,0.68874,0.83515
4.0116,1.1037,-0.0060228
2.8353,-0.59308,-0.24771
1.0221,-0.31517,0.42526
3.2468,0.32388,-0.12165
1.4159,-0.86016,0.34564
5.8909,0.81153,-0.73626
4.7357,0.86572,-0.064511
6.3291,0.89164,-0.50986
4.6072,1.615,0.63866
6.5514,0.70366,-0.97194
4.625,0.27901,-0.59594
3.4734,0.26421,0.12291
1.8003,-0.37066,0.20235
6.4876,0.69022,-0.92978
0.78003,-0.94728,0.48922
0.18039,-1.9382,0.040836
-0.79904,0.37404,0.54184
4.6386,-0.20905,-0.79121
3.812,-0.83039,-0.76104
1.0554,0.30092,0.68453
0.021728,-0.94164,0.72255
6.5106,2.1863,-0.48413
4.9729,0.52884,-0.55897
2.1293,-0.32484,0.019829
2.8963,-0.7214,-0.36064
5.5986,0.66281,0.71944
-0.033298,-0.36928,0.81348
2.1476,-0.47419,0.069436
3.2265,0.74032,0.44794
6.1148,0.75869,0.83925
6.8195,1.1613,-0.77109
5.459,0.4662,-0.54962
2.6362,-0.0493,0.58766
-0.0066949,-1.3743,0.36987
0.854,-0.92977,0.18311
4.2576,0.96078,0.47647
0.11189,-1.3643,0.40693
2.6848,-1.1195,-0.54403
4.2607,-0.32753,-0.77724
-1.186,-1.7099,0.49047
3.1402,-0.39605,-0.2343
1.3343,-0.47786,0.13952
2.3133,0.285,0.21542
5.9598,1.0751,-0.27146
1.6544,-0.34484,0.20872
0.12302,-0.81777,0.28235
4.9087,-0.1103,-0.73254
-0.16497,-0.82052,0.42786
8.5323,2.1818,0.48874
2.8502,1.3016,0.22995
0.44749,-1.2998,0.14311
1.1794,-0.85751,0.17254
5.2819,-0.19771,-0.92254
0.5172,-2.0031,-0.21093
0.14214,-1.7013,0.30383
0.24776,0.45834,0.75225
8.5962,1.8988,-0.42996
3.9742,0.12178,-0.51261
-0.83382,-1.1491,0.51958
1.1088,0.56182,0.82242
1.3815,0.13278,0.61871
4.2198,1.5851,-0.46757
-0.17471,0.63351,0.59302
3.3072,-0.30792,-0.10469
5.4849,0.17108,-0.84093
3.3178,-0.68367,-0.39838
-4.057,1.4288,0.96344
2.5032,0.91933,-0.030652
2.4277,-1.0874,-0.51516
6.3438,0.72447,-0.25987
4.6832,-0.61679,-0.9403
-1.8795,-0.8702,0.90583
3.4869,-0.20006,0.027495
5.3892,0.29094,-0.011413
2.6537,-0.92453,-0.26627
3.3991,-0.11259,-0.40199
2.5957,-0.85408,-0.30166
3.204,0.60601,0.078731
2.4914,-0.27727,0.22845
3.3569,-0.66806,-0.72528
3.348,0.10643,-0.26066
4.5126,0.55399,-0.59402
3.9195,-0.54817,-0.73292
4.4851,-0.077208,-0.70096
0.097183,-1.0596,0.72576
5.9143,1.2054,-0.068363
3.7853,-0.64878,-0.68063
1.8534,-0.14217,0.96341
-0.92697,-1.0545,0.86365
3.4167,0.0097564,-0.057
4.0973,0.35547,0.03123
4.3742,1.1999,-0.17137
2.1549,-1.2392,-0.38665
